%-------------------------------------------------------------------------------------------%
% Atmospheric CO2 concentrations (ppm) derived from in situ air measurements                %
% at Mauna Loa, Observatory, Hawaii: Latitude 19.5Â°N Longitude 155.6Â°W Elevation 3397m      %
%                                                                                           %
% Source: R. F. Keeling, S. J. Walker, S. C. Piper and A. F. Bollenbacher                   %
% Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        %
% Scripps Institution of Oceanography (SIO)                                                 %
% University of California                                                                  %
% La Jolla, California USA 92093-0244                                                       %
%                                                                                           %
% Status of data and correspondence:                                                        %
%                                                                                           %
% These data are subject to revision based on recalibration of standard gases. Questions    %
% about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu), Stephen Walker%
% (sjwalker@ucsd.edu) and Stephen Piper (scpiper@ucsd.edu), Scripps CO2 Program.            %
%                                                                                           %
% Baseline data in this file through 04-Sep-2014 from archive dated 09-Sep-2014 09:16:21    %
%                                                                                           %
%-------------------------------------------------------------------------------------------%
%                                                                                           %
% Please cite as:                                                                           %
%                                                                                           %
% C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       %
% H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   %
% oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    %
% Institution of Oceanography, San Diego, 88 pages, 2001.                                   %
%                                                                                           %
% If it is necessary to cite a peer-reviewed article, please cite as:                       %
%                                                                                           %
% C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       %
% H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       %
% oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       %
% in %A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems%,     %
% editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 %
% New York, 2005.                                                                           %
%                                                                                           %
%-------------------------------------------------------------------------------------------%
%                                                                                           %
% The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant %
% formats. Column 5 below gives monthly Mauna Loa CO2 concentrations in micro-mol CO2 per   %
% mole (ppm), reported on the 2008A SIO manometric mole fraction scale.  This is the        %
% standard version of the data most often sought.  The monthly values have been adjusted    %
% to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  %
% adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           %
% subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      %
% smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic %
% functions with linear gain.  Column 8 is the same smoothed version with the seasonal      %
% cycle removed.  Column 9 is identical to Column 5 except that the missing values from     %
% Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  %
% except missing values have been filled with values from Column 8.  Missing values are     %
% denoted by -99.99                                                                         %
%                                                                                           %
% CO2 concentrations are measured on the '08A' calibration scale                            %
%                                                                                           %
%  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
%    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
%    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1958, 03,   21259, 1958.2027,   315.70,   314.41,     316.17,   314.88,     315.70,   314.41
1958, 04,   21290, 1958.2877,   317.45,   315.15,     317.27,   314.97,     317.45,   315.15
1958, 05,   21320, 1958.3699,   317.51,   314.73,     317.83,   315.05,     317.51,   314.73
1958, 06,   21351, 1958.4548,   -99.99,   -99.99,     317.26,   315.13,     317.26,   315.13
1958, 07,   21381, 1958.5370,   315.86,   315.15,     315.93,   315.21,     315.86,   315.15
1958, 08,   21412, 1958.6219,   314.93,   316.15,     314.07,   315.29,     314.93,   316.15
1958, 09,   21443, 1958.7068,   313.20,   316.06,     312.49,   315.35,     313.20,   316.06
1958, 10,   21473, 1958.7890,   -99.99,   -99.99,     312.41,   315.41,     312.41,   315.41
1958, 11,   21504, 1958.8740,   313.33,   315.23,     313.56,   315.46,     313.33,   315.23
1958, 12,   21534, 1958.9562,   314.67,   315.46,     314.72,   315.51,     314.67,   315.46
1959, 01,   21565, 1959.0411,   315.63,   315.61,     315.58,   315.57,     315.63,   315.61
1959, 02,   21596, 1959.1260,   316.38,   315.76,     316.24,   315.63,     316.38,   315.76
1959, 03,   21624, 1959.2027,   316.71,   315.42,     316.98,   315.68,     316.71,   315.42
1959, 04,   21655, 1959.2877,   317.72,   315.41,     318.07,   315.76,     317.72,   315.41
1959, 05,   21685, 1959.3699,   318.29,   315.50,     318.62,   315.84,     318.29,   315.50
1959, 06,   21716, 1959.4548,   318.15,   316.02,     318.06,   315.93,     318.15,   316.02
1959, 07,   21746, 1959.5370,   316.54,   315.82,     316.74,   316.02,     316.54,   315.82
1959, 08,   21777, 1959.6219,   314.80,   316.02,     314.89,   316.12,     314.80,   316.02
1959, 09,   21808, 1959.7068,   313.84,   316.71,     313.34,   316.21,     313.84,   316.71
1959, 10,   21838, 1959.7890,   313.26,   316.27,     313.30,   316.31,     313.26,   316.27
1959, 11,   21869, 1959.8740,   314.80,   316.70,     314.49,   316.39,     314.80,   316.70
1959, 12,   21899, 1959.9562,   315.58,   316.38,     315.68,   316.48,     315.58,   316.38
1960, 01,   21930, 1960.0410,   316.43,   316.42,     316.57,   316.56,     316.43,   316.42
1960, 02,   21961, 1960.1257,   316.97,   316.36,     317.26,   316.64,     316.97,   316.36
1960, 03,   21990, 1960.2049,   317.58,   316.26,     318.04,   316.72,     317.58,   316.26
1960, 04,   22021, 1960.2896,   319.02,   316.68,     319.14,   316.80,     319.02,   316.68
1960, 05,   22051, 1960.3716,   320.03,   317.23,     319.67,   316.87,     320.03,   317.23
1960, 06,   22082, 1960.4563,   319.59,   317.47,     319.05,   316.93,     319.59,   317.47
1960, 07,   22112, 1960.5383,   318.18,   317.48,     317.67,   316.98,     318.18,   317.48
1960, 08,   22143, 1960.6230,   315.91,   317.16,     315.76,   317.02,     315.91,   317.16
1960, 09,   22174, 1960.7077,   314.16,   317.06,     314.15,   317.04,     314.16,   317.06
1960, 10,   22204, 1960.7896,   313.83,   316.85,     314.06,   317.07,     313.83,   316.85
1960, 11,   22235, 1960.8743,   315.00,   316.91,     315.19,   317.10,     315.00,   316.91
1960, 12,   22265, 1960.9563,   316.19,   316.99,     316.34,   317.14,     316.19,   316.99
